TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2018,22,1,PAN,ROSENDO ANAYA AGUILAR,rosendo_aguilar
AYUNTAMIENTO,2018,22,1,PRI,GUSTAVO EFRAIN MENDOZA NAVARRETE,gustavo_navarrete
AYUNTAMIENTO,2018,22,1,PRD,ANSELMA GREGORIO ILDEFONSA,anselma_ildefonsa
AYUNTAMIENTO,2018,22,1,,LORENA DEL ROCIO GALVAN SANTOS,lorena_santos
AYUNTAMIENTO,2018,22,1,PVEM,GUSTAVO EFRAIN MENDOZA NAVARRETE,gustavo_navarrete
AYUNTAMIENTO,2018,22,1,CQ,KARINA FLORES ESTRADA,karina_estrada
AYUNTAMIENTO,2018,22,1,QI,LEONEL MARTINEZ VICTORIANO,leonel_victoriano
AYUNTAMIENTO,2018,22,1,MORENA-PT-PES,FELIX VALDEZ LICEA,felix_licea
AYUNTAMIENTO,2018,22,2,PAN,MARIA ELENA SUAREZ OLVERA,maria_olvera
AYUNTAMIENTO,2018,22,2,PRI,ILIANA GUADALUPE MONTES RIOS,iliana_rios
AYUNTAMIENTO,2018,22,2,PRD,MARIANO PALACIOS TREJO,mariano_trejo
AYUNTAMIENTO,2018,22,2,,LORENA RAMIREZ AGUADO,lorena_aguado
AYUNTAMIENTO,2018,22,2,PVEM,ILIANA GUADALUPE MONTES RIOS,iliana_rios
AYUNTAMIENTO,2018,22,2,CQ,MARIA GUADALUPE VEGA AGUADO,maria_aguado
AYUNTAMIENTO,2018,22,2,QI,DELIA COLUNGA ESCAMILLA,delia_escamilla
AYUNTAMIENTO,2018,22,2,MORENA-PT-PES,OFELIA DEL CASTILLO GUILLEN,ofelia_guillen
AYUNTAMIENTO,2018,22,3,IND,ADAN CARBAJAL MENDOZA,adan_mendoza
AYUNTAMIENTO,2018,22,3,PAN,LEON ENRIQUE BOLAÑO MENDOZA,leon_mendoza
AYUNTAMIENTO,2018,22,3,PRD,LEON ENRIQUE BOLAÑO MENDOZA,leon_mendoza
AYUNTAMIENTO,2018,22,3,MC,MA. REINA MONTOYA GONZALEZ,ma._gonzalez
AYUNTAMIENTO,2018,22,3,,NAYLA ANTONIA ANAYA CUELLAR,nayla_cuellar
AYUNTAMIENTO,2018,22,3,CQ,MA. GUADALUPE GRANADOS,ma._granados
AYUNTAMIENTO,2018,22,3,QI,MARIA CELSA AVELINO GARCIA,maria_garcia
AYUNTAMIENTO,2018,22,3,MORENA-PT-PES,ANA MARIA HERNANDEZ MENDOZA,ana_mendoza
AYUNTAMIENTO,2018,22,3,PRI-PVEM,CARLOTA LEDESMA LEAL,carlota_leal
AYUNTAMIENTO,2018,22,18,IND,ALEJANDRO MARTINEZ GUERRERO,alejandro_guerrero
AYUNTAMIENTO,2018,22,17,IND,ALFREDO GABRIEL ALISEDA BARRIGA,alfredo_barriga
AYUNTAMIENTO,2018,22,4,PAN,JOSE ALEJANDRO OCHOA VALENCIA,jose_valencia
AYUNTAMIENTO,2018,22,4,PRD,KAREN GUADALUPE TORRES PEREZ,karen_perez
AYUNTAMIENTO,2018,22,4,MC,DAMIAN EVARISTO VILLASANA,damian_villasana
AYUNTAMIENTO,2018,22,4,,JOSE MANUEL MORENO YAÑEZ,jose_yañez
AYUNTAMIENTO,2018,22,4,PES,MARICRUZ RESENDIZ VEGA,maricruz_vega
AYUNTAMIENTO,2018,22,4,MORENA,JOEL PEDRAZA COLIN,joel_colin
