TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
GOBERNATURA,2021,22,,PRI,ABIGAIL ARREDONDO RAMOS,abigail_ramos
GOBERNATURA,2021,22,,PRD,RAQUEL RUIZ DE SANTIAGO ALVAREZ,raquel_alvarez
GOBERNATURA,2021,22,,MC,BEATRIZ MAGDALENA LEON SOTELO,beatriz_sotelo
GOBERNATURA,2021,22,,PVEM,KATIA RESENDIZ JAIME,katia_jaime
GOBERNATURA,2021,22,,MORENA,CELIA MAYA GARCIA,celia_garcia
GOBERNATURA,2021,22,,PT,PENELOPE RAMIREZ MANRIQUEZ,penelope_manriquez
GOBERNATURA,2021,22,,PES,MA. DE JESUS IBARRA SILVA,ma._silva
GOBERNATURA,2021,22,,RSP,MIGUEL NAVA ALVARADO,miguel_alvarado
GOBERNATURA,2021,22,,FM,JUAN CARLOS MARTINEZ CECIAS RODRIGUEZ,juan_rodriguez
GOBERNATURA,2021,22,,PAN-QUI,MAURICIO KURI GONZALEZ,mauricio_gonzalez
