#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN 2,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN 3,1PP_MV,VOTOS,PCN 4,DIF_2DO,PCN 5,2PP_MV,VOTOS 2,PCN 6,DIF_3RO,PCN 7,3PP_MV,VOTOS 3,PCN 8,PAN,PCN 9,PRI,PCN 10,PRD,PCN 11,MC,PCN 12,PVEM,PCN 13,MORENA,PCN 14,PT,PCN 15,QI,PCN 16,PES,PCN 17,RSP,PCN 18,FxM,PCN 19,PAN_QI,PCN 20,CNR,PCN 21,NULOS,PCN 22,TOT_VOTOS,VALIDACION
1,22,QUERÉTARO,0,VOTO EN EL EXTRANJERO,,0,0,992,638,"0,64","0,36",PAN,402,"0,63",259,"0,41",MORENA,143,"0,22",122,"0,19",PRI,21,"0,03",PAN,402,"0,63",259,"0,41",MORENA,143,"0,22",122,"0,19",PRI,21,"0,03",402,"0,63",21,"0,03",2,"0,00",13,"0,02",4,"0,01",143,"0,22",2,"0,00",11,"0,02",0,"0,00",3,"0,00",2,"0,00",21,0,8,"0,01",6,"0,01",638,"100,00%"
2,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,1,1.070,729,"0,68","0,32",PAN,358,"0,49",172,"0,24",PRI,186,"0,26",57,"0,08",MORENA,129,"0,18",PAN,358,"0,49",172,"0,24",PRI,186,"0,26",57,"0,08",MORENA,129,"0,18",358,"0,49",186,"0,26",2,"0,00",15,"0,02",16,"0,02",129,"0,18",4,"0,01",3,"0,00",2,"0,00",4,"0,01",1,"0,00",0,0,0,"0,00",9,"0,01",729,"100,00%"
3,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,2,965,619,"0,64","0,36",PAN,296,"0,48",137,"0,22",PRI,159,"0,26",51,"0,08",MORENA,108,"0,17",PAN,296,"0,48",137,"0,22",PRI,159,"0,26",51,"0,08",MORENA,108,"0,17",296,"0,48",159,"0,26",1,"0,00",8,"0,01",19,"0,03",108,"0,17",3,"0,00",0,"0,00",0,"0,00",1,"0,00",4,"0,01",0,0,0,"0,00",20,"0,03",619,"100,00%"
4,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,3,1.571,1.238,"0,79","0,21",PAN,518,"0,42",160,"0,13",PRI,358,"0,29",105,"0,08",MORENA,253,"0,20",PAN,518,"0,42",160,"0,13",PRI,358,"0,29",105,"0,08",MORENA,253,"0,20",518,"0,42",358,"0,29",3,"0,00",17,"0,01",25,"0,02",253,"0,20",6,"0,00",2,"0,00",5,"0,00",11,"0,01",17,"0,01",3,0,0,"0,00",20,"0,02",1.238,"100,00%"
5,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,4,1.742,938,"0,54","0,46",PAN,408,"0,43",161,"0,17",PRI,247,"0,26",68,"0,07",MORENA,179,"0,19",PAN,408,"0,43",161,"0,17",PRI,247,"0,26",68,"0,07",MORENA,179,"0,19",408,"0,43",247,"0,26",5,"0,01",17,"0,02",30,"0,03",179,"0,19",2,"0,00",11,"0,01",1,"0,00",2,"0,00",4,"0,00",1,0,0,"0,00",31,"0,03",938,"100,00%"
6,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,5,1.636,1.014,"0,62","0,38",PAN,433,"0,43",142,"0,14",PRI,291,"0,29",117,"0,12",MORENA,174,"0,17",PAN,433,"0,43",142,"0,14",PRI,291,"0,29",117,"0,12",MORENA,174,"0,17",433,"0,43",291,"0,29",10,"0,01",13,"0,01",21,"0,02",174,"0,17",6,"0,01",4,"0,00",5,"0,00",16,"0,02",13,"0,01",1,0,1,"0,00",26,"0,03",1.014,"100,00%"
7,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,6,977,483,"0,49","0,51",PAN,219,"0,45",59,"0,12",PRI,160,"0,33",109,"0,23",MORENA,51,"0,11",PAN,219,"0,45",59,"0,12",PRI,160,"0,33",109,"0,23",MORENA,51,"0,11",219,"0,45",160,"0,33",4,"0,01",17,"0,04",7,"0,01",51,"0,11",1,"0,00",1,"0,00",0,"0,00",2,"0,00",4,"0,01",0,0,0,"0,00",17,"0,04",483,"100,00%"
8,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,7,804,450,"0,56","0,44",PAN,196,"0,44",44,"0,10",PRI,152,"0,34",108,"0,24",MORENA,44,"0,10",PAN,196,"0,44",44,"0,10",PRI,152,"0,34",108,"0,24",MORENA,44,"0,10",196,"0,44",152,"0,34",5,"0,01",4,"0,01",13,"0,03",44,"0,10",1,"0,00",2,"0,00",7,"0,02",6,"0,01",4,"0,01",1,0,0,"0,00",15,"0,03",450,"100,00%"
9,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,8,1.313,709,"0,54","0,46",PAN,319,"0,45",66,"0,09",PRI,253,"0,36",170,"0,24",MORENA,83,"0,12",PAN,319,"0,45",66,"0,09",PRI,253,"0,36",170,"0,24",MORENA,83,"0,12",319,"0,45",253,"0,36",2,"0,00",6,"0,01",13,"0,02",83,"0,12",2,"0,00",3,"0,00",2,"0,00",2,"0,00",3,"0,00",0,0,0,"0,00",21,"0,03",709,"100,00%"
10,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,9,1.957,906,"0,46","0,54",PAN,490,"0,54",217,"0,24",PRI,273,"0,30",224,"0,25",MORENA,49,"0,05",PAN,490,"0,54",217,"0,24",PRI,273,"0,30",224,"0,25",MORENA,49,"0,05",490,"0,54",273,"0,30",0,"0,00",26,"0,03",8,"0,01",49,"0,05",3,"0,00",2,"0,00",2,"0,00",2,"0,00",7,"0,01",1,0,0,"0,00",43,"0,05",906,"100,00%"
