Municipio,Presidente Municipal,Partido
Amealco de Bonfil,René Mejía Montoya,Partido Revolucionario Institucional
Pinal de Amoles,María Guadalupe Ramírez Plaza,Partido Acción Nacional
Arroyo Seco,Ofelia del Castillo Guillén,Movimiento Regeneración Nacional
Cadereyta de Montes,Miguel Martínez Peñaloza,Partido Acción Nacional
Colón,Manuel Montes Hernández,Partido Revolucionario Institucional
Corregidora,Roberto Sosa Pichardo,Partido Acción Nacional
Ezequiel Montes,Magda Guadalupe Pérez Montes,Partido Acción Nacional
Huimilpan,Juan Guzmán Cabrera,Partido Verde Ecologista de México
Jalpan de Serra,Efraín Muñoz Cosme,Candidato independiente
Landa de Matamoros,Marina Ponce Camacho,Partido Acción Nacional
El Marqués,Enrique Vega Carriles,Partido Acción Nacional
Pedro Escobedo,Isidro Amarildo Bárcenas Reséndiz,Partido Acción Nacional
Peñamiller,Juan Carlos Linares Aguilar,Partido Acción Nacional
Querétaro,Luis Bernardo Nava Guerrero,Partido Acción Nacional
San Joaquín,Carlos Manuel Ledesma Robles,Partido Verde Ecologista de México
San Juan del Río,Roberto Carlos Cabrera Valencia,Partido Acción Nacional
Tequisquiapan,José Antonio Mejía Lira,Candidato independiente
Tolimán,María Guadalupe Alcántara de Santiago,Partido Acción Nacional
